Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f - 0.03215147)"
5,0.23264991,"((-0.12699656 * F_x) * v)"
7,0.21075742,"((v * F_u) * (E_x * -0.16539358))"
9,0.19267844,"((((F_u * E_x) + F_x) * -0.13223733) * v)"
11,0.06677844,"((F_x * -0.7665381) * (v - (E_f / (F_x / F_u))))"
13,0.0572778,"((F_x * -0.80927706) * ((v - -0.015337166) - (E_f / (F_x / F_u))))"
15,0.05417892,"((F_x * -0.80927706) * ((v - -0.015337166) - ((E_f + -0.004099466) / (F_x / F_u))))"
17,0.053063132,"((F_x * -0.80927706) * ((v - -0.015337166) - ((E_f + (-0.0042438633 * 0.6279711)) / (F_x / F_u))))"
19,0.051710818,"((F_x * -0.80927706) * ((v - -0.015337166) - ((E_f + (-0.0042438633 * 0.74600816)) / (F_x / (F_u - 0.70722646)))))"
