Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f - 0.03215145)"
5,0.23264991,"(v * (-0.12698688 * F_x))"
7,0.21075743,"(((v * E_x) * -0.16539055) * F_u)"
9,0.19267625,"((-0.13299881 * v) * ((E_x * F_u) + F_x))"
11,0.06688109,"((v * -0.7487714) * (F_x - ((E_f / v) * F_u)))"
13,0.061781652,"((v / -1.2764989) * (F_x + (-0.49959013 - ((E_f / v) * F_u))))"
15,0.05766593,"((v * -0.7154596) * (F_x + (((E_x * 0.10515254) - (E_f / v)) * F_u)))"
17,0.053769637,"((v / -1.3765953) * ((F_x + (((E_x * 0.09970765) - (E_f / v)) * F_u)) + -0.4807641))"
19,0.051119063,"(((v * -0.76302695) * ((F_x + (((0.07837477 * E_x) - (E_f / v)) * F_u)) - 0.4596062)) - E_f)"
