Complexity,Loss,Equation
1,0.22227874,"0.50352156"
4,0.21120925,"exp(-0.4258098 / x0)"
5,0.073020816,"((1.8768874 - x0) * x0)"
7,0.06617389,"((1.9147717 - x0) * (x0 + -0.08648363))"
9,0.058552414,"((((1.9147717 - x0) * x0) - 0.22517872) * 1.3932406)"
10,0.03122912,"(x0 / exp(x0 * ((x0 - 1.0455468) * x0)))"
11,0.0061163795,"(x0 / exp((exp(x0) - 3.1546512) * (x0 + -0.5355352)))"
12,0.0052925977,"(x0 / (exp(((x0 * x0) + -1.1947315) * x0) / x0))"
13,0.0030024587,"(x0 / (exp(exp((x0 * x0) - x0)) - (x0 + x0)))"
14,0.0010301134,"((x0 / exp(((x0 + -1.1138277) * (x0 * x0)) / 0.45700607)) * x0)"
15,0.0008667295,"((x0 / exp(((x0 + -1.113137) * exp(0.79761225)) * (x0 * x0))) * x0)"
16,0.0005270124,"(x0 / (exp((x0 + -1.113137) * (((x0 + x0) + 0.35143158) * x0)) / x0))"
18,0.0004381851,"(x0 / (exp((x0 + -1.1138277) * ((((x0 + 0.432997) + x0) * x0) + -0.103566155)) / x0))"
19,0.0001308022,"(((((x0 * exp(x0)) / exp((x0 * x0) * (x0 * 1.3222438))) / 0.54471314) * x0) * x0)"
