Complexity,Loss,Equation
1,0.22227874,"0.50352156"
4,0.21120925,"exp(-0.42581064 / x0)"
5,0.21039265,"(x0 / (x0 + 0.6586612))"
6,0.14450002,"(x0 / (exp(x0) - x0))"
7,0.07303143,"(((0.9604954 - x0) - -0.9192169) * x0)"
8,0.07045827,"(exp((0.876905 - x0) * x0) * x0)"
9,0.036829308,"exp((-2.3990846 + exp(x0)) * (1.226286 - x0))"
10,0.00012729262,"exp(((-0.7737894 + x0) / 0.17233188) * (1.2262515 - x0))"
11,1.4325709e-5,"exp(((-0.7737655 + x0) * (1.226286 - x0)) * exp(1.7130157))"
12,1.4156386e-5,"exp(((-0.7737811 + x0) * (1.2262515 - x0)) * exp(exp(0.5392667)))"
13,1.4153858e-5,"exp((((-0.7737655 + x0) * (1.226286 - x0)) * exp(1.7130157)) * 1.0016029)"
