Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f + -0.032151226)"
5,0.23264994,"(v * (-0.12704182 * F_x))"
7,0.21104322,"(((E_x * -0.15265355) * v) * F_u)"
9,0.21059741,"((-0.3039385 * F_x) * ((v * 0.39155698) + E_f))"
11,0.20729221,"(((-0.3039385 * F_x) - v) * ((v * 0.3942119) + E_f))"
13,0.1929965,"((((((0.009717554 - F_u) * E_x) - F_x) * v) / 1.5276536) * 0.18902233)"
15,0.19229715,"(((((((1.8303436 - F_u) * E_x) * 1.047556) - F_x) * v) / 1.5276536) * 0.18902233)"
17,0.19197153,"((((((((1.8303436 - F_u) * E_x) - v) * 1.047556) - F_x) * v) / 1.5276536) * 0.18902233)"
19,0.18906128,"((((((((F_u / F_u) - F_u) * E_x) * (1.047556 + E_x)) - F_x) * v) / 1.5276536) * 0.17027056)"
