Complexity,Loss,Equation
1,0.22227874,"0.50352156"
4,0.21120925,"exp(-0.42581043 / x0)"
5,0.073390394,"(x0 * (1.8602198 - x0))"
6,0.073020816,"(x0 * (exp(0.6296118) - x0))"
7,0.0670905,"(((2.0481038 - x0) * x0) + -0.19870609)"
9,0.060413748,"(((x0 + -0.17266214) * (1.8602198 - x0)) * 1.1843785)"
10,0.031229123,"(x0 / exp((x0 * (x0 - 1.0455147)) * x0))"
11,0.021223871,"(x0 / exp((x0 - 1.1778903) * (exp(x0) - 1.4784981)))"
12,0.0052926103,"((x0 / exp(((x0 * x0) - 1.194736) * x0)) * x0)"
13,0.003249912,"(x0 / exp((x0 - 1.194736) * ((x0 * exp(x0)) - 1.194736)))"
14,0.0014884456,"(3.4503715 / ((exp(x0 * (x0 * x0)) / (x0 * x0)) / x0))"
15,0.0012599272,"((x0 / exp(((x0 + -1.1047608) * (exp(x0) + -1.3146487)) / 0.6410209)) * x0)"
16,0.0010840853,"(((x0 / exp(((x0 * x0) - 1.194736) * (x0 + 0.5961177))) * x0) * x0)"
17,0.0003001291,"(x0 / ((((exp((x0 * x0) * x0) + 0.31530482) / x0) - x0) / exp(x0)))"
18,0.00024935714,"(((x0 / exp(((x0 * x0) - (1.194736 - 0.019585941)) * (x0 + 0.5961177))) * x0) * x0)"
