Complexity,Loss,Equation
1,0.22227876,"0.50352216"
2,0.22227874,"exp(-0.68612874)"
4,0.21120925,"exp(-0.42580873 / x0)"
5,0.073020816,"((1.8768874 - x0) * x0)"
7,0.06617389,"((1.9147711 - x0) * (x0 + -0.08649369))"
9,0.059454415,"((((1.9147711 - x0) * x0) * 1.2918533) - 0.21711919)"
10,1.4158335e-5,"exp(((x0 + -0.7737871) / 0.18005921) * (1.2262834 - x0))"
11,1.4153702e-5,"exp((x0 + -0.77375686) * ((1.2262728 - x0) * exp(1.7147363)))"
19,1.4136318e-5,"exp((x0 + -0.77375686) * ((1.2262728 - x0) * (exp(1.7147363) + (((x1 * -0.98621696) + x1) * -0.1330514))))"
