Complexity,Loss,Equation
1,0.2123842,"0.47832704"
2,0.21238418,"exp(-0.73749334)"
3,0.21238416,"(1.626001 * 0.29414615)"
4,0.20126194,"(x0 / exp(x0))"
6,0.13658988,"(x0 / (exp(x0) - x0))"
7,0.067867294,"(((-1.013326 * x0) - -1.8882155) * x0)"
9,0.03224088,"exp((1.1801687 - x0) * (exp(x0) - 2.5468466))"
10,0.0004485233,"exp(((1.2265633 - x0) * (x0 - 0.77342)) / 0.1964296)"
11,1.7808956e-5,"exp((1.2265633 - x0) * ((x0 - 0.77342) * exp(1.706558)))"
12,1.4867147e-5,"exp((1.2265633 - x0) * ((x0 - 0.77342) * exp(exp(0.5415436))))"
13,1.398146e-5,"exp((1.2265633 - x0) * ((x0 - 0.77342) * exp(1.6322998 - -0.08242975)))"
17,1.3981455e-5,"exp((((1.2265633 - x0) / x0) * ((x0 - 0.77342) * exp(1.6322998 - -0.08242975))) * x0)"
20,1.39808835e-5,"(exp(((1.3516265 - x0) * ((x0 - 0.64836484) * exp(exp((1.2015778 - 0.6565626) - 0.2833164)))) / 0.6598433) / 1.4943979)"
