Complexity,Loss,Equation
1,0.22227874,"0.503522"
4,0.21120925,"exp(-0.42580974 / x0)"
5,0.073020816,"((1.8768873 - x0) * x0)"
7,0.066173896,"(((2.0012627 - x0) * x0) + -0.16561316)"
9,0.032860145,"exp((1.0687246 - x0) * (exp(x0) - 2.813121))"
10,0.00034877783,"exp(((1.2156237 - x0) / 0.18869877) * (x0 - 0.7785445))"
11,2.534733e-5,"exp(((1.2262595 - x0) * exp(1.7009827)) * (x0 - 0.773783))"
13,2.217448e-5,"exp(((1.2262595 - x0) * (exp(1.2262595) + 2.0824654)) * (x0 - 0.773783))"
14,1.9061146e-5,"exp(((1.2262595 - x0) * (exp(exp(0.20729437)) + 2.0824654)) * (x0 - 0.773783))"
15,1.415571e-5,"exp(((1.2262595 - x0) * (exp(1.3916807) + (-1.2546533 * -1.2225318))) * (x0 - 0.773783))"
