Complexity,Loss,Equation
1,0.227477,"0.5310196"
4,0.21064605,"exp(-0.38736838 / x0)"
6,0.15005739,"(x0 / exp(x0 - 0.6549354))"
8,0.07010288,"(x0 / exp((x0 - 0.9054529) * x0))"
9,0.04710907,"((x0 / exp(exp(x0) - 2.7377362)) * x0)"
10,0.030893642,"(x0 / exp(((x0 - 1.0523764) * x0) * x0))"
11,0.016179336,"(x0 / exp((exp(x0) - 1.5914977) * (x0 - 1.0772548)))"
12,0.005251357,"(x0 / (((exp(x0 * x0) / x0) - x0) - x0))"
14,0.0023774153,"((x0 / exp((((x0 * x0) + -1.2180804) * x0) / 0.86213136)) * x0)"
15,0.0006699756,"((x0 / (exp((x0 - 1.0772548) * exp(x0 / 0.85836416)) / x0)) * x0)"
16,0.0005308561,"((x0 * x0) / exp((((x0 + x0) * 1.178389) * x0) * (x0 - 1.1188685)))"
17,0.00017098081,"(((x0 / exp((x0 - 1.0812483) * ((exp(x0) + x0) - 0.45012727))) * x0) * x0)"
19,0.00016375713,"(((x0 * x0) / exp((x0 - 1.0812483) * (((exp(x0) + x0) + -0.080349915) - 0.34328306))) * x0)"
