Complexity,Loss,Equation
1,0.2190163,"0.5049664"
4,0.21692643,"(x0 / exp(x0))"
5,0.21564505,"(x0 / (x0 + 0.7003563))"
6,0.072442256,"((exp(0.6276967) - x0) * x0)"
8,0.067616515,"((exp(0.6276967) - x0) * (x0 + -0.09224421))"
10,0.03144369,"(x0 / exp(((x0 + -1.0403045) * x0) * x0))"
11,0.015646555,"(x0 / exp((x0 + -1.1199914) * (exp(x0) + -1.6033016)))"
12,0.0055091563,"(x0 / (((exp(x0 * x0) / x0) - x0) - x0))"
14,0.00047897367,"((x0 / exp(((x0 + -1.1190568) * x0) * (x0 / 0.42685398))) * x0)"
15,0.00047897204,"((x0 / exp((((x0 + -1.1190598) * x0) * exp(0.8513979)) * x0)) * x0)"
16,0.00047770565,"((x0 / exp(((x0 + -1.1190568) * x0) * ((x0 / 0.42685398) - -0.0032447276))) * x0)"
18,0.00046552543,"((x0 / exp(((x0 + -1.1190598) * x0) * ((x0 - -0.05375069) - (-1.2795216 * x0)))) * x0)"
19,0.0004210626,"((x0 / exp((x0 + -1.1190568) * (exp(x0) + (-1.5085124 * ((x0 + -1.1190568) / -0.7084404))))) * x0)"
20,0.0003641832,"(x0 / (exp(((x0 + -1.1190598) * (((x0 + x0) + -0.1726952) - 0.19096194)) * (x0 - -0.44058838)) / x0))"
