Complexity,Loss,Equation
1,0.21563731,"0.49682125"
2,0.2156373,"exp(-0.6995255)"
4,0.2093524,"exp(-0.43694946 / x0)"
5,0.06969907,"((1.8739067 - x0) * x0)"
6,0.069699064,"((exp(0.6280128) - x0) * x0)"
7,0.062427524,"(-0.17129004 + ((2.0019345 - x0) * x0))"
8,0.049404655,"(exp(-0.011944331 * exp(exp(x0))) * x0)"
10,0.030166622,"(x0 / exp((x0 + -1.0387056) * (x0 * x0)))"
11,0.014921665,"(exp((1.5505661 - exp(x0)) * (x0 + -1.10358)) * x0)"
12,0.0053647077,"(x0 / (((exp(x0 * x0) / x0) - x0) - x0))"
13,0.0030475077,"(x0 / ((exp(exp((x0 * x0) - x0)) - x0) - x0))"
14,0.00061521766,"((x0 * x0) / exp((x0 + -1.1157013) * ((x0 / 0.43897477) * x0)))"
16,0.0004929339,"((x0 * x0) / exp(((x0 + -1.1140035) * x0) * ((x0 + x0) - -0.3594312)))"
17,0.000114577655,"((x0 / exp((x0 + -1.1157013) * (((exp(0.9743772) + x0) * x0) - 1.1740572))) * x0)"
18,8.8759676e-5,"((x0 / exp((x0 + -1.1157013) * (((exp(exp(-0.051420122)) + x0) * x0) + -1.1157013))) * x0)"
19,7.71942e-5,"(x0 / (exp((x0 + -1.1157013) * (((exp(0.9743772) + (x0 / 1.0584501)) * x0) - 1.1155524)) / x0))"
