Complexity,Loss,Equation
1,0.22227874,"0.50352156"
4,0.21120925,"exp(-0.42575613 / x0)"
5,0.07342616,"(x0 * (1.8594326 - x0))"
7,0.06617389,"(((2.0012698 - x0) * x0) - 0.16561826)"
9,0.05727709,"exp((1.121457 - x0) * (exp(x0) - 2.1565962))"
10,0.031229122,"(exp(((1.0455139 - x0) * x0) * x0) * x0)"
11,0.014006486,"(exp((-0.3100114 * exp(x0 * x0)) + x0) * x0)"
12,0.0053787143,"((exp((1.205189 - (x0 * x0)) * x0) * x0) * x0)"
13,0.0028519256,"(exp(((1.121457 - x0) * exp(1.5447897)) * (x0 - 0.58672875)) * x0)"
14,0.0016110756,"((x0 / (exp(((x0 * x0) * x0) - 1.2222722) / x0)) * x0)"
15,0.00140011,"((exp((1.121457 - x0) * (exp(x0 - 0.21839978) * x0)) * x0) * x0)"
16,0.0005469548,"((exp((1.121457 - x0) * ((x0 * (1.0532016 - -1.298202)) * x0)) * x0) * x0)"
19,0.00054163544,"(((x0 * x0) - 0.014711971) / exp(((x0 + -1.1261102) * ((x0 + exp(-0.85716087)) + x0)) * x0))"
20,0.0003142777,"(((x0 * (x0 + 0.37602866)) / exp(((((x0 * x0) * x0) / 0.96419436) - x0) / 0.7633711)) * x0)"
