Complexity,Loss,Equation
1,0.22227876,"0.50351936"
2,0.22227874,"exp(-0.6861212)"
4,0.21120925,"exp(-0.4258087 / x0)"
5,0.21040334,"(x0 / (x0 - -0.67256147))"
6,0.14450002,"(x0 / (exp(x0) - x0))"
7,0.093185,"(x0 + (x0 - (x0 * x0)))"
8,0.07038758,"(x0 / exp(x0 * (x0 + -0.8890081)))"
9,0.066181645,"((x0 + (x0 - (x0 * x0))) + -0.1616596)"
10,0.031229123,"(x0 / exp((x0 + -1.0455136) * (x0 * x0)))"
11,0.014471036,"(x0 / exp(exp((x0 * x0) - 1.1992335) - x0))"
12,0.0053154007,"(x0 / (exp(((x0 * x0) - 1.1992335) * x0) / x0))"
13,0.0032319734,"(x0 / exp((x0 + -1.1594803) * ((exp(x0) * x0) + -1.1594803)))"
14,0.0014884453,"((((x0 * 3.4504237) * x0) * x0) / exp((x0 * x0) * x0))"
16,0.0008055157,"((x0 / exp(((x0 - exp(0.1588225)) * exp(1.6690818)) * (x0 + -0.59917414))) / 1.0687349)"
18,0.0002486586,"(x0 / ((((exp((x0 * x0) * x0) / x0) / x0) * 0.38726172) + (-0.30520383 * x0)))"
20,0.00021843912,"(x0 / (((((exp((x0 * x0) * x0) / x0) / x0) + -0.017565608) * 0.38726172) + (-0.30520383 * x0)))"
