Complexity,Loss,Equation
1,0.22112946,"0.50809884"
4,0.20578325,"exp(-0.40383646 / x0)"
5,0.07411013,"((1.8808584 - x0) * x0)"
7,0.06696102,"((1.8808584 - x0) * (x0 - 0.08076097))"
9,0.03612501,"exp((1.2306644 - x0) * (-2.4681547 + exp(x0)))"
10,0.031389512,"(exp((1.0513427 - x0) * (x0 * x0)) * x0)"
11,0.0033895336,"exp((1.175938 - x0) * ((-1.5950646 / x0) + exp(x0)))"
12,0.0027822854,"(exp(((1.1231048 - x0) * (x0 + -0.63248366)) / 0.24011411) * x0)"
13,0.0016412075,"exp(((0.95998347 + 0.24980049) - x0) * ((-1.5950646 / x0) + exp(x0)))"
14,0.0004890398,"(exp((((1.1195617 - x0) * x0) * x0) * 2.3555443) * (x0 * x0))"
18,0.00037998531,"((exp((1.1231048 - x0) * (((x0 - (-0.6664501 - x0)) * x0) - 0.2714889)) * x0) * x0)"
20,0.00035894607,"((exp((1.1231048 - x0) * (((x0 - (-0.6664501 - (x0 - -0.12682262))) * x0) + -0.38561228)) * x0) * x0)"
