Complexity,Loss,Equation
1,0.21263367,"0.49698302"
4,0.2059826,"exp(-0.44409984 / x0)"
5,0.09503293,"((1.9972677 - x0) * x0)"
6,0.07220272,"((exp(0.6289568) - x0) * x0)"
7,0.06463464,"(((1.9972677 - x0) * x0) + -0.17435572)"
9,0.05897624,"(((1.9972677 - x0) * (x0 / 0.8909899)) + -0.28714135)"
10,0.031154053,"(x0 / exp(x0 * ((x0 - 1.0375843) * x0)))"
11,0.016769566,"(x0 / exp(exp((x0 * x0) + -1.0987667) - x0))"
12,0.0053088684,"(x0 / (exp(((x0 * x0) + -1.1974835) * x0) / x0))"
14,0.00051892677,"((x0 / exp(((x0 - 1.1184472) * x0) * (x0 / 0.4266325))) * x0)"
19,0.00038408724,"(exp(x0 + 0.1371638) / ((((exp((x0 * x0) * x0) / x0) / x0) - x0) / 0.7322287))"
20,0.00010223214,"((x0 / ((exp(((x0 * x0) - 1.1372744) * ((x0 - -0.3882912) * 1.1372744)) / x0) / 1.0699353)) * x0)"
