Complexity,Loss,Equation
1,0.22256322,"0.5038021"
2,0.2225632,"exp(-0.68550044)"
4,0.21142352,"exp(-0.42526618 / x0)"
5,0.094276324,"(x0 * (1.7509862 - x0))"
7,0.073139764,"(x0 * ((1.7509862 - -0.12986363) - x0))"
8,0.0704871,"(exp((0.8894079 - x0) * x0) * x0)"
9,0.028026264,"exp((0.74359745 - x0) * (exp(x0) + -3.5515826))"
10,0.00086210645,"exp((x0 - 0.7554455) * ((1.2219903 - x0) / 0.19643505))"
11,1.595526e-5,"exp(((x0 - 0.7735148) * (1.2264667 - x0)) * exp(1.6984143))"
13,3.472793e-9,"exp(((x0 - 0.7735148) * (1.2264667 - x0)) * (exp(1.6984143) - -0.09036367))"
17,1.9355713e-9,"exp(((x0 - 0.77351886) * ((1.076284 - -0.1502033) - x0)) * ((exp(1.7317221) - -1.0537201) * 0.82873803))"
