Complexity,Loss,Equation
1,0.22227876,"0.50352246"
2,0.22227874,"exp(-0.68610466)"
4,0.21120925,"exp(-0.4258098 / x0)"
5,0.112157606,"((2.0484035 - x0) * x0)"
7,0.0675365,"(((2.0484035 - x0) * x0) - 0.18772066)"
9,0.03440887,"exp((2.657925 - exp(x0)) * (x0 - 1.0945941))"
10,0.0011221075,"exp((1.2005112 - x0) * ((x0 - 0.76448655) / 0.1880342))"
11,0.00069302245,"exp(((1.2262781 - x0) * exp(1.6071553)) * (x0 + -0.7737971))"
12,4.9474776e-5,"exp(((1.2262781 - x0) * (2.7105112 + 2.7105112)) * (x0 + -0.7737971))"
13,1.4178294e-5,"exp(((1.2262781 - x0) * (exp(1.4970583) + 1.0901396)) * (x0 + -0.7737971))"
15,1.4155561e-5,"exp(((1.2262781 - x0) * (exp(1.1142297) * (1.0925245 - -0.7306105))) * (x0 + -0.7737971))"
19,1.4155559e-5,"exp(((1.2262781 - x0) * ((exp(1.1142297) * (1.0925245 - -0.7306105)) / x0)) * ((x0 + -0.7737971) * x0))"
