Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f - 0.032150976)"
5,0.23265009,"(-0.12732047 * (F_x * v))"
7,0.2107647,"((v * (F_u * E_x)) * -0.163363)"
9,0.19268434,"(-0.13447025 * (((E_x * F_u) + F_x) * v))"
11,0.18323876,"(-0.13447025 * ((F_x + (E_x * F_u)) * (v + E_f)))"
13,0.18176195,"(-0.13690366 * ((F_x + (E_x * (F_u - F_x))) * (E_f + v)))"
15,0.17987236,"(-0.13447025 * ((F_x + (E_x * (F_u - F_x))) * ((E_f * 1.5122231) + v)))"
17,0.17807594,"(-0.13447025 * (((F_x + (E_x * (F_u - F_x))) - E_xx) * ((E_f * 1.5122231) + v)))"
19,0.17677744,"(-0.13447025 * (((F_x + ((E_x - 0.02261734) * (F_u - F_x))) - E_xx) * ((E_f * 1.5122231) + v)))"
