Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f + -0.032146707)"
5,0.23264991,"(v * (F_x * -0.12694639))"
7,0.21075793,"(((-0.16487698 * F_u) * E_x) * v)"
9,0.20215192,"(v * (-0.08269724 * (F_x + (F_u * E_x))))"
11,0.19241907,"(v * (-0.08269724 * (F_x + ((F_u * E_x) * 1.8874099))))"
13,0.18597622,"(((v + E_f) * (-0.2037186 * (F_x + (F_u * E_x)))) * 0.51950765)"
15,0.18378055,"((v + E_f) * (-0.08269724 * ((F_x / 0.7395786) + (F_u * (E_x + E_x)))))"
17,0.18212381,"((v + E_f) * (-0.08269724 * (((F_x / 0.7395786) - E_xx) + (F_u * (E_x + E_x)))))"
19,0.1811402,"((v + E_f) * (-0.08269724 * (((F_x / 0.7395786) - E_xx) + ((F_u * (E_x + E_x)) - E_xx))))"
