Complexity,Loss,Equation
1,0.2572647,"E_f"
3,0.25636226,"(E_f - 0.030033076)"
5,0.23283273,"(-0.12719467 * (v * F_x))"
7,0.21338981,"(F_u * (-0.18260966 * (v * E_x)))"
9,0.1980057,"(((F_u * E_x) + F_x) * (-0.146171 * v))"
11,0.19527842,"(((F_u * (E_x - -0.14813264)) + F_x) * (-0.146171 * v))"
13,0.19368221,"((((E_f * F_x) / v) + (F_u * E_x)) * (-0.19017093 * v))"
15,0.19021016,"((((E_f * (F_x / 0.64524555)) / v) + (F_u * E_x)) * (-0.19017093 * v))"
17,0.17618419,"(((((E_f + (v / x)) * F_x) / v) + (F_u * E_x)) * (-0.19017093 * v))"
19,0.17089356,"(((((E_f + ((v + E_x) / x)) * F_x) / v) + (F_u * E_x)) * (-0.19017093 * v))"
