Complexity,Loss,Equation
1,0.20765279,"0.4226528"
4,0.176445,"(x0 / exp(x0))"
6,0.11967828,"(x0 / (exp(x0) - x0))"
7,0.0676962,"((x0 * 1.8675857) - (x0 * x0))"
8,0.062553555,"(exp(x0 * (0.8764618 - x0)) * x0)"
9,0.040487442,"exp((1.2436492 - x0) * (-2.3472545 + exp(x0)))"
10,2.3852182e-5,"exp((1.2261674 - x0) * ((-0.7711759 + x0) / 0.18185407))"
11,1.2348825e-5,"exp((1.2271837 - x0) * ((x0 - exp(-0.25711802)) / 0.17997923))"
15,1.2348823e-5,"exp((1.2271837 - x0) * ((x0 - exp(-0.25711802)) / ((0.17997923 / x0) * x0)))"
16,1.23464015e-5,"exp(((0.7732423 - x0) * (((-1.227206 + x0) / exp(-0.96464604)) / exp(-0.96464604))) / 1.2389766)"
