Complexity,Loss,Equation
1,0.22080809,"0.5012002"
5,0.072450034,"(x0 * (1.8752551 - x0))"
7,0.065493606,"(((2.0004814 - x0) * x0) + -0.16668756)"
9,0.05587215,"(((1.875276 - x0) / 0.7881698) * (x0 - 0.17915085))"
11,0.032301553,"(((2.0004814 - x0) * ((2.0004814 - x0) * x0)) * x0)"
13,0.019304605,"(x0 / (((((x0 * x0) + -1.5807465) * x0) * x0) - -1.3770541))"
15,0.007377027,"((x0 / (((((x0 * x0) + -1.5807465) * x0) * x0) - -1.2067028)) - 0.25987625)"
17,0.0040590107,"((x0 / (((((x0 * x0) * x0) - x0) * x0) + (1.6747104 - x0))) + -0.14015092)"
19,0.0022285513,"((x0 / ((((x0 + -1.1781329) * ((x0 * x0) + -0.18940587)) * (x0 + x0)) - -0.9538039)) - 0.15544184)"
