Complexity,Loss,Equation
1,0.22057927,"0.50465065"
4,0.2112228,"exp(-0.42569125 / x0)"
5,0.13215385,"((2.0854232 - x0) * x0)"
7,0.06918316,"(((2.0854232 - x0) * x0) - 0.22914104)"
9,0.04998815,"((exp(2.806862 - exp(x0)) * x0) * x0)"
10,0.0035684425,"exp(((x0 + -1.2527161) / -0.21311936) * (x0 - 0.74542075))"
12,0.0035502887,"(exp(((x0 + -1.2527161) / -0.21311936) * (x0 - 0.7061802)) + -0.11017391)"
13,0.00056406576,"(exp(((1.1567698 - x0) * exp(1.5781237)) * (x0 - 0.6528905)) * x0)"
14,2.5312424e-5,"exp(((((x0 - 0.13265528) - 0.90459853) / -0.1525456) + x0) * (x0 - 0.7735813))"
16,1.5970054e-5,"exp(((((x0 - 0.82380575) / -0.1525456) + 0.77860993) + (x0 + 0.6349651)) * (x0 - 0.7735813))"
