Complexity,Loss,Equation
1,0.22227874,"0.5035485"
4,0.21120925,"exp(-0.425808 / x0)"
5,0.073020816,"((1.8768872 - x0) * x0)"
7,0.06617389,"(((2.0012603 - x0) * x0) + -0.16560791)"
9,0.036223043,"exp((2.424004 - exp(x0)) * (x0 - 1.2170061))"
10,1.4164686e-5,"exp((0.7738051 - x0) * ((x0 - 1.2262703) / 0.18007572))"
11,1.4155937e-5,"exp(((0.7737848 - x0) * exp(1.7147428)) * (x0 - 1.2262576))"
13,1.4153403e-5,"exp(((1.2262869 - x0) * exp(1.4349767)) * ((x0 * 1.3228389) - 1.023574))"
15,1.4141066e-5,"exp(((0.7737557 - x0) * (exp(1.7147428) + (-0.0013574617 * x1))) * (x0 - 1.226252))"
17,1.413206e-5,"exp(((0.7737557 - x0) * (exp(1.7147428) + ((-0.0013574617 * x1) * x1))) * (x0 - 1.226252))"
18,1.4108585e-5,"exp((0.7738222 - x0) * ((x0 - 1.2262869) * (exp(exp(0.5391787)) + ((1.2076356 - x1) * 0.004336512))))"
20,1.4082116e-5,"exp((0.7738222 - x0) * ((x0 - 1.2262869) * (exp(exp(0.5391787)) + ((1.2076356 - x1) * (0.004336512 / 0.41208434)))))"
