Complexity,Loss,Equation
1,0.22227876,"0.50352216"
2,0.22227874,"exp(-0.6861294)"
4,0.21120925,"exp(-0.42581108 / x0)"
5,0.21039179,"(x0 / (0.66157687 + x0))"
6,0.14450002,"(x0 / (exp(x0) - x0))"
7,0.07352848,"(((0.94821084 + 0.94821084) - x0) * x0)"
8,0.07038781,"(exp((0.88961655 - x0) * x0) * x0)"
9,0.036124006,"exp((1.1857954 - x0) * (exp(x0) - 2.4360166))"
10,0.0003345889,"exp(((0.7597607 - x0) * (x0 + -1.2205949)) / 0.17757742)"
12,0.00010611255,"exp((1.2213677 - x0) * ((x0 - exp(-0.25387603)) * exp(1.6871763)))"
13,5.440132e-5,"exp((exp(-0.25648516) - x0) * ((x0 - 1.2262518) * exp(exp(0.5543233))))"
14,2.462304e-5,"exp((1.2262555 - x0) * ((x0 - exp(-0.2564967)) * (1.0217665 + exp(1.4951504))))"
15,1.4219824e-5,"exp((exp(-0.25648516) - x0) * ((x0 - 1.2262518) * exp(exp(0.98329777 / 1.8213724))))"
16,1.4154466e-5,"exp((1.2262745 - x0) * ((x0 - exp(-0.25646275)) * (1.3382338 + (exp(1.2823527) - -0.61188805))))"
18,1.415386e-5,"exp((1.2262741 - x0) * ((x0 - exp(-0.2565058)) * (1.3412423 + (exp(1.2933626) - (-0.61489666 + 0.0457393)))))"
