Complexity,Loss,Equation
1,1393.326,"24.187117"
5,1393.084,"(24.187117 + (0.37377003 * x1))"
9,945.69073,"exp(exp(1.272821) + (-2.024809 * (x0 * x0)))"
10,546.1617,"exp(exp(exp(-0.43629766 * (x0 * x0))) + 1.2771174)"
11,43.300365,"exp(exp(1.2506489 + ((-0.6579823 * x0) * x0)) + 1.2506489)"
13,28.560547,"exp((1.2448987 + (-0.8789771 * (x0 * (x0 + x0)))) + exp(1.2448987))"
15,24.539845,"exp(((exp(1.2448987) + 0.096975975) + ((-1.4288176 * 1.3308461) * (x0 * x0))) + 1.1434879)"
16,24.206392,"exp((1.635838 * ((2.014968 + 0.91999996) + ((-0.8371736 + -0.34703037) * (x0 * x0)))) + -0.08278059)"
20,24.011662,"exp(((1.4741232 * exp(0.8933991)) + (((-1.2526463 * x0) * x0) * (exp(-0.22942404) + exp(-0.2294239)))) + exp(0.11866518))"
