Complexity,Loss,Equation
1,0.33523104,"0.4759048"
4,0.32371953,"(x0 / exp(x0))"
5,0.2044646,"((1.8569735 - x0) * x0)"
7,0.19570023,"((1.8704005 - x0) * (x0 - 0.09280138))"
9,0.18910463,"(((1.8031616 - x0) / 0.7395334) * (x0 - 0.16835746))"
10,0.14180046,"exp((0.8030695 - x0) * ((x0 + -1.2179768) / 0.18170251))"
12,0.14153054,"exp((0.8030695 - x0) * ((x0 + (-1.3020102 + 0.099452995)) / 0.18170251))"
16,0.14134711,"exp((0.8030695 - x0) * (((x0 + -1.2179768) / 0.18170251) - ((0.35892338 - x1) * 0.11705343)))"
