Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f - 0.03215084)"
5,0.23276964,"(v * (F_x * -0.13554868))"
7,0.08461145,"((E_f * F_u) - (v * F_x))"
9,0.06677843,"(((E_f * F_u) - (v * F_x)) * 0.766357)"
11,0.057321057,"(((E_f * F_u) - ((v - -0.015130241) * F_x)) / 1.246951)"
13,0.05157664,"(((E_f * F_u) - ((v - -0.015130241) * (F_x - 0.5016965))) / 1.2034295)"
15,0.049672965,"(((E_f * F_u) - (((v - -0.015130241) * (F_x - 0.5016965)) + E_f)) / 1.2034295)"
17,0.047732487,"((((E_f * F_u) - ((v - -0.015130241) * ((F_x + -0.48789018) * 1.042909))) - E_f) / 1.2034295)"
