Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f + -0.032151446)"
5,0.23264991,"((-0.12699643 * v) * F_x)"
7,0.21171835,"((E_x * F_u) * (-0.14203212 * v))"
9,0.20825772,"(v * ((E_xx - (E_x * F_u)) * 0.1484142))"
11,0.19010057,"(v * ((E_xx - ((E_x * F_u) + F_x)) * 0.13361749))"
13,0.18197456,"((v + E_f) * ((E_xx - (F_x + (E_x * F_u))) * 0.14624316))"
15,0.17414567,"((v * ((((E_f * F_u) * 2.017145) * v) - (0.1484142 * F_x))) / 0.34455314)"
17,0.16869532,"((v + E_f) * (((((E_f * F_u) * 2.017145) * v) - (0.1484142 * F_x)) / 0.39035287))"
19,0.16148126,"(v * (((((E_f * F_u) * 2.017145) * v) - (0.1484142 * F_x)) / ((0.4187316 - E_x) + 0.13696754)))"
