Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f + -0.032151505)"
5,0.23264991,"((F_x * -0.12698483) * v)"
7,0.21079507,"((v * -0.1607718) * (E_x * F_u))"
9,0.07691639,"((v * (0.4802095 - F_x)) + (E_f * F_u))"
11,0.059989516,"(((v - -0.017926525) * (0.4946217 - F_x)) + (E_f * F_u))"
13,0.05137937,"((((v - -0.017264195) * (0.5004681 - F_x)) + (E_f * F_u)) * 0.82613957)"
15,0.04966909,"((((v - -0.017264195) * (0.5004681 - F_x)) + (E_f * (F_u - 0.9671174))) * 0.8417514)"
17,0.047734927,"((((((v * 1.0419757) - -0.017264195) * (0.5004681 - F_x)) - E_f) + (E_f * F_u)) * 0.82460207)"
19,0.0474212,"((((((v * 1.0419757) - -0.017264195) * (0.5004681 - (F_x + E_f))) - E_f) + (E_f * F_u)) * 0.82460207)"
